"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","028_A3","033B","033E-replaced","033_A1","042B","042E","042_A1","054_V2","055_V1","067_A5","115_A2","161_A2","408_A1","442B","442E","442_A3","445_A2","447_A2","447_A3","489_A1","530B","530E","530_A2","552_A1","606_A3"
"group_2929","","Serine protease HtrA-like protein","1","1","1","3","1","117","1","","","","","","","","","","L_01952___34786","","","","","","","","","","","","","","","",""
"group_2930","","serine protease","1","1","1","3","2","117","2","","","","","","","","","","L_01953___34788","","","","","","","","","","","","","","","",""
"group_2931","","ATPase","1","1","1","3","3","117","3","","","","","","","","","","L_01954___34790","","","","","","","","","","","","","","","",""
"group_2932","","bifunctional 2',3'-cyclic nucleotide 2'-phosphodiesterase/3'-nucleotidase precursor protein","1","1","1","3","4","117","4","","","","","","","","","","L_01955___34792","","","","","","","","","","","","","","","",""
"group_2933","","bifunctional metallophosphatase/5'-nucleotidase","1","1","1","3","5","117","15","","","","","","","","","","L_01956___34794","","","","","","","","","","","","","","","",""
"group_2934","","hypothetical protein","1","1","1","3","6","117","14","","","","","","","","","","L_01957___34796","","","","","","","","","","","","","","","",""
"group_2935","","hypothetical protein","1","1","1","3","7","117","13","","","","","","","","","","L_01958___34798","","","","","","","","","","","","","","","",""
"lplJ","","Lipoate-protein ligase LplJ","1","1","1","3","8","117","12","","","","","","","","","","L_01959___34800","","","","","","","","","","","","","","","",""
"group_2937","","IDEAL domain protein","1","1","1","3","9","117","11","","","","","","","","","","L_01960___34802","","","","","","","","","","","","","","","",""
"comK","","Competence transcription factor","1","1","1","3","10","117","10","","","","","","","","","","L_01961___34804","","","","","","","","","","","","","","","",""
"group_2939","","Plasmid recombination enzyme","1","1","1","3","11","117","9","","","","","","","","","","L_01964___34810","","","","","","","","","","","","","","","",""
"group_2940","","hypothetical protein","1","1","1","3","12","117","8","","","","","","","","","","L_01965___34812","","","","","","","","","","","","","","","",""
"group_2941","","Fatty acid desaturase","1","1","1","3","15","117","7","","","","","","","","","","L_01966___34814","","","","","","","","","","","","","","","",""
"group_2942","","arginine exporter protein","1","1","1","3","14","117","6","","","","","","","","","","L_01967___34816","","","","","","","","","","","","","","","",""
"group_2943","","arginine exporter protein","1","1","1","3","13","117","5","","","","","","","","","","L_01968___34818","","","","","","","","","","","","","","","",""
"group_2944","","methyltransferase","1","1","1","9","2","163","2","","","","","","","","","","L_02012___34918","","","","","","","","","","","","","","","",""
"rplL_2","","50S ribosomal protein L7/L12","1","1","1","9","3","163","3","","","","","","","","","","L_02013___34920","","","","","","","","","","","","","","","",""
"rplJ_2","","50S ribosomal protein L10","1","1","1","9","4","163","4","","","","","","","","","","L_02014___34922","","","","","","","","","","","","","","","",""
"rplA_2","","50S ribosomal protein L1","1","1","1","9","5","163","5","","","","","","","","","","L_02015___34924","","","","","","","","","","","","","","","",""
"rplA_3","","50S ribosomal protein L1","1","1","1","9","1","163","1","","","","","","","","","","L_02016___34926","","","","","","","","","","","","","","","",""
"capB","","Capsule biosynthesis protein CapB","1","1","1","2","1","108","15","","","","","","","","","","L_02017___34928","","","","","","","","","","","","","","","",""
"capC_1","","Capsule biosynthesis protein CapC","1","1","1","2","2","108","16","","","","","","","","","","L_02018___34930","","","","","","","","","","","","","","","",""
"capC_2","","Capsule biosynthesis protein CapC","1","1","1","2","3","108","17","","","","","","","","","","L_02019___34932","","","","","","","","","","","","","","","",""
"capA","","Capsule biosynthesis protein CapA","1","1","1","2","4","108","18","","","","","","","","","","L_02020___34934","","","","","","","","","","","","","","","",""
"group_2953","","hypothetical protein","1","1","1","2","5","108","19","","","","","","","","","","L_02021___34936","","","","","","","","","","","","","","","",""
"capD","","Capsule biosynthesis protein CapD precursor","1","1","1","2","6","108","20","","","","","","","","","","L_02022___34938","","","","","","","","","","","","","","","",""
"glcU","","putative glucose uptake protein GlcU","1","1","1","2","7","108","14","","","","","","","","","","L_02023___34940","","","","","","","","","","","","","","","",""
"rbsD","","D-ribose pyranase","1","1","1","2","8","108","13","","","","","","","","","","L_02024___34942","","","","","","","","","","","","","","","",""
"group_2957","","adenosine kinase","1","1","1","2","9","108","12","","","","","","","","","","L_02025___34944","","","","","","","","","","","","","","","",""
"group_2958	group_2959","","Transposase IS116/IS110/IS902 family protein	Transposase IS116/IS110/IS902 family protein","1	1","1	1","1	1","2	2","10	17","108	108","11	4","","","","","","","","","","L_02026___34946	L_02033___34960","","","","","","","","","","","","","","","",""
"glpK","","glycerol kinase","1","1","1","2","11","108","10","","","","","","","","","","L_02027___34948","","","","","","","","","","","","","","","",""
"group_2961","","hypothetical protein","1","1","1","2","12","108","9","","","","","","","","","","L_02028___34950","","","","","","","","","","","","","","","",""
"group_2962","","hypothetical protein","1","1","1","2","13","108","8","","","","","","","","","","L_02029___34952","","","","","","","","","","","","","","","",""
"group_2963","","serine dehydratase","1","1","1","2","20","108","7","","","","","","","","","","L_02030___34954","","","","","","","","","","","","","","","",""
"group_2964","sdhA_2","L-serine dehydratase, alpha chain","1","1","1","2","19","108","6","","","","","","","","","","L_02031___34956","","","","","","","","","","","","","","","",""
"group_2965","","serine dehydratase","1","1","1","2","18","108","5","","","","","","","","","","L_02032___34958","","","","","","","","","","","","","","","",""
"group_2966","","hypothetical protein","1","1","1","2","16","108","3","","","","","","","","","","L_02034___34962","","","","","","","","","","","","","","","",""
"ltaS_1","","Lipoteichoic acid synthase","1","1","1","2","15","108","2","","","","","","","","","","L_02035___34964","","","","","","","","","","","","","","","",""
"ltaS_2","","Lipoteichoic acid synthase","1","1","1","2","14","108","1","","","","","","","","","","L_02036___34966","","","","","","","","","","","","","","","",""
"group_2969","","peptidase","1","1","1","1","1456","9","1","","","","","","","","","","","L_00390___35768","","","","","","","","","","","","","","",""
"group_2970","","peptidase","1","1","1","1","1455","9","23","","","","","","","","","","","L_00391___35770","","","","","","","","","","","","","","",""
"group_2971","","hypothetical protein","1","1","1","1","1399","9","24","","","","","","","","","","","L_00392___35772","","","","","","","","","","","","","","",""
"group_2972","","hypothetical protein","1","1","1","1","1060","200","1","","","","","","","","","","","L_00468___35927","","","","","","","","","","","","","","",""
"group_2974","","hypothetical protein","1","1","1","1","227","109","1","","","","","","","","","","","L_00808___36630","","","","","","","","","","","","","","",""
"group_2978","","hypothetical protein","1","1","1","1","888","1","199","","","","","","","","","","","L_01494___38043","","","","","","","","","","","","","","",""
"group_2979","","hypothetical protein","1","1","1","1","518","1","205","","","","","","","","","","","L_01498___38051","","","","","","","","","","","","","","",""
"group_2980","","tail protein","1","1","1","1","517","1","206","","","","","","","","","","","L_01499___38053","","","","","","","","","","","","","","",""
"group_2986","","hypothetical protein","1","1","1","1","2665","1","270","","","","","","","","","","","L_01539___38134","","","","","","","","","","","","","","",""
"group_2988","","hypothetical protein","1","1","1","1","559","1","592","","","","","","","","","","","L_01590___38238","","","","","","","","","","","","","","",""
"group_2989","","hypothetical protein","1","1","1","1","558","1","591","","","","","","","","","","","L_01591___38240","","","","","","","","","","","","","","",""
"group_2990","","terminase","1","1","1","1","557","1","590","","","","","","","","","","","L_01592___38242","","","","","","","","","","","","","","",""
"group_2991","","hypothetical protein","1","1","1","1","556","1","589","","","","","","","","","","","L_01593___38244","","","","","","","","","","","","","","",""
"dcm_2","","DNA (cytosine-5-)-methyltransferase family protein","1","1","1","1","810","1","460","","","","","","","","","","","L_01598___38254","","","","","","","","","","","","","","",""
"group_2993","","hypothetical protein","1","1","1","1","811","1","461","","","","","","","","","","","L_01599___38256","","","","","","","","","","","","","","",""
"group_2995","","hypothetical protein","1","1","1","1","812","1","467","","","","","","","","","","","L_01604___38266","","","","","","","","","","","","","","",""
"group_2997","","hypothetical protein","1","1","1","1","773","1","554","","","","","","","","","","","L_01607___38272","","","","","","","","","","","","","","",""
"group_2998","","hypothetical protein","1","1","1","1","778","1","555","","","","","","","","","","","L_01608___38274","","","","","","","","","","","","","","",""
"group_2999","","hypothetical protein","1","1","1","1","779","1","556","","","","","","","","","","","L_01609___38276","","","","","","","","","","","","","","",""
"group_3000","","peptidase S24-like family protein","1","1","1","1","630","1","489","","","","","","","","","","","L_01612___38282","","","","","","","","","","","","","","",""
"yokF","","SPBc2 prophage-derived endonuclease YokF precursor","1","1","1","1","629","1","488","","","","","","","","","","","L_01613___38284","","","","","","","","","","","","","","",""
"group_3002","","Siphovirus Gp157","1","1","1","1","793","1","494","","","","","","","","","","","L_01618___38295","","","","","","","","","","","","","","",""
"group_3003","","ATP-binding protein","1","1","1","1","792","1","493","","","","","","","","","","","L_01619___38297","","","","","","","","","","","","","","",""
"group_3004","","hypothetical protein","1","1","1","1","791","1","492","","","","","","","","","","","L_01620___38299","","","","","","","","","","","","","","",""
"group_3005","","hypothetical protein","1","1","1","1","1008","1","501","","","","","","","","","","","L_01623___38305","","","","","","","","","","","","","","",""
"group_3008","","hypothetical protein","1","1","1","1","1577","364","1","","","","","","","","","","","L_01878___38828","","","","","","","","","","","","","","",""
